Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
4840	statemap.jpg	MN	830	372	616	
4857	statemap.jpg	MN	820	388	616	
4873	statemap.jpg	MN	824	370	616	
4890	statemap.jpg	MN	839	366	616	
4906	statemap.jpg	MN	831	367	616	
4923	statemap.jpg	MN	835	368	616	
4940	statemap.jpg	MN	833	364	616	
4956	statemap.jpg	MN	831	384	616	
4973	statemap.jpg	MN	828	381	616	
4990	statemap.jpg	MN	835	379	616	
5006	statemap.jpg	MN	835	379	616	
5023	statemap.jpg	MN	817	382	616	
5040	statemap.jpg	MN	824	380	616	
5056	statemap.jpg	MN	822	381	616	
5073	statemap.jpg	MN	822	369	616	
5090	statemap.jpg	MN	823	377	616	
5106	statemap.jpg	MN	827	374	616	
5123	statemap.jpg	MN	817	374	616	
5140	statemap.jpg	MN	817	376	616	
5156	statemap.jpg	MN	838	385	616	
5173	statemap.jpg	WI	918	410	333	
5190	statemap.jpg	WI	920	420	333	
5206	statemap.jpg	WI	913	414	333	
5223	statemap.jpg	WI	927	414	333	
5240	statemap.jpg	WI	908	421	333	
5256	statemap.jpg	WI	929	410	333	
5273	statemap.jpg	WI	935	413	333	
5290	statemap.jpg	WI	915	424	333	
5306	statemap.jpg	WI	921	405	333	
5323	statemap.jpg	WI	914	424	333	
5340	statemap.jpg	WI	919	422	333	
5356	statemap.jpg	WI	931	416	333	
5373	statemap.jpg	WI	911	420	333	
5390	statemap.jpg	WI	910	423	333	
5406	statemap.jpg	WI	920	412	333	
5423	statemap.jpg	WI	917	417	333	
5439	statemap.jpg	WI	913	421	333	
5456	statemap.jpg	WI	918	412	333	
5473	statemap.jpg	WI	910	435	333	
5489	statemap.jpg	WI	923	413	333	
5506	statemap.jpg	Content	0	0		
5523	statemap.jpg	Content	0	0		
5539	statemap.jpg	Content	0	0		
5556	statemap.jpg	MN	823	383	450	
